donor,time_at_lining,register_in,register_out,total_wait_to_register
init_1,0.0,0.0,9.34,0.0
init_2,0.0,9.34,10.34,9.34
init_3,0.0,10.34,17.34,10.34
init_4,0.0,17.34,18.34,17.34
init_5,0.0,18.34,19.34,18.34
init_6,0.0,19.34,20.34,19.34
init_7,0.0,20.34,25.34,20.34
init_8,0.0,25.34,30.89,25.34
arr_1,0.12,30.89,31.89,30.78
arr_2,0.84,31.89,32.89,31.05
arr_3,2.26,32.89,33.89,30.63
arr_4,6.52,33.89,41.72,27.37
arr_5,8.8,41.72,49.7,32.92
arr_6,13.25,49.7,50.7,36.45
arr_7,14.82,50.7,59.78,35.87
arr_8,20.74,59.78,64.78,39.04
arr_9,22.1,64.78,65.78,42.67
arr_10,22.17,65.78,70.78,43.61
arr_11,23.5,70.78,78.02,47.28
arr_12,27.24,78.02,86.19,50.78
arr_13,29.37,86.19,87.19,56.83
arr_14,32.91,87.19,88.19,54.28
arr_15,34.04,88.19,89.19,54.15
arr_16,36.76,89.19,96.51,52.43
arr_17,36.9,96.51,97.51,59.61
arr_18,42.91,97.51,98.51,54.6
arr_19,44.41,98.51,103.51,54.11
arr_20,45.68,103.51,104.51,57.83
arr_21,46.16,104.51,111.71,58.35
arr_22,47.58,111.71,112.71,64.13
arr_23,49.32,112.71,113.71,63.39
arr_24,51.16,113.71,119.27,62.55
arr_25,51.52,119.27,120.27,67.75
arr_26,52.53,120.27,121.27,67.74
arr_27,55.24,121.27,122.27,66.03
arr_28,55.88,122.27,128.09,66.4
arr_29,56.54,128.09,137.07,71.55
arr_30,56.55,137.07,145.21,80.52
arr_31,58.69,145.21,146.21,86.52
arr_32,60.66,146.21,151.21,85.55
arr_33,60.79,151.21,157.89,90.42
arr_34,61.46,157.89,158.89,96.43
arr_35,62.44,158.89,159.89,96.45
arr_36,66.33,159.89,164.89,93.55
arr_37,66.82,164.89,173.9,98.07
arr_38,70.8,173.9,181.56,103.09
arr_39,75.64,181.56,182.56,105.92
arr_40,78.26,182.56,190.6,104.3
arr_41,83.41,190.6,199.3,107.19
arr_42,85.53,199.3,200.3,113.77
arr_43,88.47,200.3,205.3,111.83
arr_44,89.95,205.3,206.3,115.35
arr_45,91.63,206.3,207.3,114.67
arr_46,92.73,207.3,212.3,114.57
arr_47,93.59,212.3,213.3,118.71
arr_48,101.1,213.3,218.3,112.2
arr_49,101.42,218.3,223.3,116.89
