donor,time_at_lining,register_in,register_out,total_wait_to_register
init_1,0.0,0.0,1.0,0.0
init_4,0.0,1.0,2.0,1.0
init_5,0.0,2.0,3.0,2.0
init_2,0.0,0.0,5.0,0.0
init_3,0.0,0.0,5.0,0.0
init_6,0.0,3.0,8.0,3.0
arr_1,0.68,5.0,10.03,4.32
arr_2,5.42,5.42,10.42,0.0
arr_3,8.91,8.91,13.91,0.0
arr_5,13.75,13.75,14.75,0.0
arr_6,16.34,16.34,17.34,0.0
arr_7,16.57,16.57,17.57,0.0
arr_4,11.7,11.7,19.58,0.0
arr_8,18.72,18.72,19.72,0.0
arr_9,19.1,19.1,24.1,0.0
arr_12,32.5,32.5,33.5,0.0
arr_10,28.8,28.8,33.8,0.0
arr_13,34.68,34.68,39.68,0.0
arr_11,30.9,30.9,40.2,0.0
arr_14,36.85,36.85,41.85,0.0
arr_16,44.54,44.54,45.54,0.0
arr_15,40.06,40.06,46.59,0.0
arr_17,45.71,45.71,50.71,0.0
arr_18,57.05,57.05,58.05,0.0
arr_19,57.5,57.5,58.5,0.0
arr_22,73.83,73.83,74.83,0.0
arr_20,66.32,66.32,75.5,0.0
arr_21,66.43,66.43,75.68,0.0
arr_23,75.12,75.12,80.12,0.0
arr_24,82.49,82.49,83.49,0.0
arr_26,85.03,85.03,86.03,0.0
arr_27,85.61,85.61,86.61,0.0
arr_28,87.98,87.98,88.98,0.0
arr_25,84.55,84.55,89.55,0.0
arr_29,99.78,99.78,100.78,0.0
arr_30,102.47,102.47,103.47,0.0
arr_32,106.62,106.62,111.62,0.0
arr_34,113.83,113.83,114.83,0.0
arr_31,106.46,106.46,115.98,0.0
arr_35,118.42,118.42,119.42,0.0
arr_33,110.45,110.45,119.95,0.0
arr_36,122.96,122.96,123.96,0.0
arr_37,126.57,126.57,127.57,0.0
arr_38,133.82,133.82,134.82,0.0
arr_39,136.59,136.59,137.59,0.0
arr_42,142.9,142.9,143.9,0.0
arr_40,139.22,139.22,144.22,0.0
arr_43,143.66,143.9,144.9,0.24
arr_44,144.78,144.78,145.78,0.0
arr_41,142.1,142.1,150.7,0.0
arr_47,149.37,150.7,151.7,1.33
arr_45,146.81,146.81,151.81,0.0
arr_48,149.77,151.7,152.7,1.93
arr_49,151.9,151.9,156.9,0.0
arr_46,148.01,148.01,156.99,0.0
arr_50,153.04,153.04,158.04,0.0
arr_51,153.63,156.9,161.9,3.27
arr_54,159.07,161.9,162.9,2.83
arr_53,155.05,158.04,163.04,2.99
arr_56,163.84,163.84,164.84,0.0
arr_52,153.87,156.99,166.45,3.11
arr_57,165.51,165.51,166.51,0.0
arr_55,160.75,162.9,167.9,2.15
arr_58,168.6,168.6,169.6,0.0
arr_59,169.81,169.81,170.81,0.0
arr_60,171.15,171.15,172.15,0.0
arr_61,173.23,173.23,174.23,0.0
arr_63,175.06,175.06,176.06,0.0
arr_62,173.41,173.41,180.16,0.0
arr_64,181.41,181.41,186.41,0.0
arr_65,181.64,181.64,186.64,0.0
arr_66,185.68,185.68,190.68,0.0
arr_68,193.46,193.46,194.46,0.0
arr_69,196.17,196.17,197.17,0.0
arr_70,198.02,198.02,199.02,0.0
arr_67,192.58,192.58,201.08,0.0
arr_71,200.94,200.94,205.94,0.0
arr_72,208.93,208.93,209.93,0.0
arr_75,213.3,213.3,214.3,0.0
arr_73,211.04,211.04,216.04,0.0
arr_74,211.31,211.31,216.31,0.0
arr_77,225.32,225.32,230.32,0.0
arr_79,228.54,230.32,231.32,1.78
arr_76,223.1,223.1,232.23,0.0
arr_78,228.26,228.26,233.26,0.0
arr_82,234.31,234.31,235.31,0.0
arr_81,231.93,232.23,237.23,0.3
arr_83,236.45,236.45,237.45,0.0
arr_80,231.1,231.32,240.5,0.22
arr_84,240.6,240.6,245.6,0.0
arr_85,241.7,241.7,246.7,0.0
arr_86,251.13,251.13,256.13,0.0
arr_87,252.6,252.6,258.82,0.0
arr_89,257.94,257.94,258.94,0.0
arr_88,256.43,256.43,262.85,0.0
arr_90,272.44,272.44,279.64,0.0
arr_91,276.78,276.78,281.78,0.0
arr_93,283.36,283.36,284.36,0.0
arr_92,279.29,279.29,286.19,0.0
arr_96,288.08,288.08,289.08,0.0
arr_97,289.08,289.08,290.08,0.0
arr_95,285.56,285.56,290.79,0.0
arr_98,290.69,290.69,291.69,0.0
arr_94,283.44,283.44,293.42,0.0
arr_99,292.01,292.01,297.01,0.0
